llama_v3_1b,10,2048,-1,-1,FP,auto,greedy,479.75826263427734,3.3898353576660156
llama_v3_1b,6,4096,-1,-1,FP,auto,greedy,567.0194625854492,3.412961959838867
llama_v3_1b,6,4096,-1,-1,FP,auto,knapsack,572.3333358764648,4.149436950683594
llama_v3_1b,10,2048,-1,-1,FP,auto,knapsack,479.6888828277588,4.741907119750977
llama_v3_1b,6,4096,-1,-1,FP,auto,optimal,567.3840045928955,118.81089210510254
llama_v3_1b,16,1024,-1,-1,FP,auto,knapsack,664.0605926513672,6.155490875244141
llama_v3_1b,16,1024,-1,-1,FP,auto,greedy,658.9641571044922,3.3957958221435547
llama_v3_1b,10,2048,-1,-1,FP,auto,optimal,478.0716896057129,123.98982048034668
llama_v3_1b,16,1024,-1,-1,FP,auto,optimal,659.430742263794,146.4555263519287
llama_v3_1b,12,1024,-1,-1,FP,auto,greedy,180403.2597541809,0.7846355438232422
llama_v3_1b,12,1024,-1,-1,FP,auto,knapsack,180382.0686340332,1.6050338745117188
llama_v3_1b,12,1024,-1,-1,FP,auto,optimal,180407.00674057007,109.28988456726074
stable_diffusion,64,77,512,50,FP,auto,greedy,184076.30348205566,2.9594898223876953
stable_diffusion,80,77,512,50,FP,auto,greedy,184003.08322906494,3.1397342681884766
stable_diffusion,192,77,256,50,FP,auto,knapsack,184179.80933189392,6.422996520996094
stable_diffusion,192,77,256,50,FP,auto,optimal,184148.39458465576,195.0395107269287
stable_diffusion,192,77,256,50,FP,auto,greedy,184143.41759681702,3.1790733337402344
stable_diffusion,160,77,256,50,FP,auto,optimal,184156.09884262085,212.5701904296875
stable_diffusion,160,77,256,50,FP,auto,greedy,184191.51043891907,3.226041793823242
stable_diffusion,160,77,256,50,FP,auto,knapsack,184241.6594028473,7.107257843017578
stable_diffusion,64,77,512,50,FP,auto,knapsack,183946.74253463745,6.319284439086914
stable_diffusion,64,77,512,50,FP,auto,optimal,183969.98739242554,203.41730117797852
stable_diffusion,80,77,512,50,FP,auto,knapsack,183909.5959663391,6.981849670410156
stable_diffusion,80,77,512,50,FP,auto,optimal,183974.9915599823,186.74111366271973
