llama_v3_1b,10,2048,-1,-1,FP,none,optimal,4943257600,8704,0,101852345344,0,9886515200,327680,116682454528
llama_v3_1b,6,4096,-1,-1,FP,none,optimal,4943257600,8704,0,122229806080,0,9886515200,393216,137059980800
llama_v3_1b,16,1024,-1,-1,FP,none,optimal,4943257600,8704,0,81473356800,0,9886515200,262144,96303400448
llama_v3_1b,12,1024,-1,-1,FP,none,optimal,4943257600,8704,0,61105153024,0,9886515200,196608,75935131136
llama_v3_1b,10,2048,-1,-1,FP,full,optimal,4943257600,8704,0,34698916864,0,9886515200,327680,49529026048
llama_v3_1b,6,4096,-1,-1,FP,full,optimal,4943257600,8704,0,41645708288,0,9886515200,393216,56475883008
llama_v3_1b,16,1024,-1,-1,FP,full,optimal,4943257600,8704,0,27750605824,0,9886515200,262144,42580649472
llama_v3_1b,12,1024,-1,-1,FP,full,optimal,4943257600,8704,0,20813087744,0,9886515200,196608,35643065856
llama_v3_1b,10,2048,-1,-1,FP,auto,greedy,4943257600,8704,0,47130774528,0,9886515200,327680,61960883712
llama_v3_1b,6,4096,-1,-1,FP,auto,greedy,4943257600,8704,0,45376936960,0,9886515200,393216,60207111680
llama_v3_1b,6,4096,-1,-1,FP,auto,knapsack,4943257600,8704,0,45326212096,0,9886515200,393216,60156386816
llama_v3_1b,10,2048,-1,-1,FP,auto,knapsack,4943257600,8704,0,46878133248,0,9886515200,327680,61708242432
llama_v3_1b,6,4096,-1,-1,FP,auto,optimal,4943257600,8704,0,45553884160,0,9886515200,393216,60384058880
llama_v3_1b,16,1024,-1,-1,FP,auto,knapsack,4943257600,8704,0,48212531200,0,9886515200,262144,63042574848
llama_v3_1b,16,1024,-1,-1,FP,auto,greedy,4943257600,8704,0,49118106624,0,9886515200,262144,63948150272
llama_v3_1b,10,2048,-1,-1,FP,auto,optimal,4943257600,8704,0,47678000128,0,9886515200,327680,62508109312
llama_v3_1b,16,1024,-1,-1,FP,auto,optimal,4943257600,8704,0,49725494272,0,9886515200,262144,64555537920
llama_v3_1b,12,1024,-1,-1,FP,auto,greedy,4943257600,8704,0,50686510080,0,9886515200,196608,65516488192
llama_v3_1b,12,1024,-1,-1,FP,auto,knapsack,4943257600,8704,0,50636080128,0,9886515200,196608,65466058240
llama_v3_1b,12,1024,-1,-1,FP,auto,optimal,4943257600,8704,0,50724455424,0,9886515200,196608,65554433536
stable_diffusion,160,77,256,50,FP,none,optimal,4067009536,1024,2100736,74141504512,2936012800,6876223488,126028288,88148880384
stable_diffusion,80,77,512,50,FP,none,optimal,4067009536,1024,2100736,146346120192,5872025600,6876223488,251758592,163415239168
stable_diffusion,192,77,256,50,FP,none,optimal,4067009536,1024,2100736,88969798656,3523215360,6876223488,151233024,103589581824
stable_diffusion,64,77,512,50,FP,none,optimal,4067009536,1024,2100736,117076902912,4697620480,6876223488,201405952,132921264128
stable_diffusion,160,77,256,50,FP,full,optimal,4067009536,1024,0,26881392640,0,6876223488,126028288,37950654976
stable_diffusion,64,77,512,50,FP,full,optimal,4067009536,1024,0,42964811776,0,6876223488,201405952,54109451776
stable_diffusion,192,77,256,50,FP,full,optimal,4067009536,1024,0,32257671168,0,6876223488,151233024,43352138240
stable_diffusion,80,77,512,50,FP,full,optimal,4067009536,1024,0,53706014720,0,6876223488,251758592,64901007360
stable_diffusion,64,77,512,50,FP,auto,greedy,4067009536,1024,2100736,52587998208,4697620480,6876223488,201405952,68432359424
stable_diffusion,80,77,512,50,FP,auto,greedy,4067009536,1024,98252288,49805581312,5872435200,6876223488,251758592,66971261440
stable_diffusion,192,77,256,50,FP,auto,knapsack,4067009536,1024,2100736,54026443776,3523215360,6876223488,151233024,68646226944
stable_diffusion,192,77,256,50,FP,auto,optimal,4067009536,1024,2100736,56653380608,3523215360,6876223488,151233024,71273163776
stable_diffusion,192,77,256,50,FP,auto,greedy,4067009536,1024,2100736,54852492288,3523215360,6876223488,151233024,69472275456
stable_diffusion,160,77,256,50,FP,auto,optimal,4067009536,1024,2100736,58072396800,2936012800,6876223488,126028288,72079772672
stable_diffusion,160,77,256,50,FP,auto,greedy,4067009536,1024,2100736,57337695232,2936012800,6876223488,126028288,71345071104
stable_diffusion,160,77,256,50,FP,auto,knapsack,4067009536,1024,2100736,53808047104,2936012800,6876223488,126028288,67815422976
stable_diffusion,64,77,512,50,FP,auto,knapsack,4067009536,1024,2100736,51257994240,4697620480,6876223488,201405952,67102355456
stable_diffusion,64,77,512,50,FP,auto,optimal,4067009536,1024,2100736,54655708160,4697620480,6876223488,201405952,70500069376
stable_diffusion,80,77,512,50,FP,auto,knapsack,4067009536,1024,98252288,49218743296,5872435200,6876223488,251758592,66384423424
stable_diffusion,80,77,512,50,FP,auto,optimal,4067009536,1024,2100736,52652733440,5872025600,6876223488,251758592,69721852416
